date,start,end,time_seen,seen
2020-10-01,06:05,10:45,07:15,yes
2020-10-01,06:22,09:30,07:45,yes
2020-10-02,05:35,07:55,05:55,yes
2020-10-02,05:54,07:50,06:00,yes
2020-10-02,06:00,09:30,07:50,yes
2020-10-02,10:10,11:30,NA,yes
2020-10-02,17:05,17:45,NA,yes
2020-10-03,05:08,11:50,12:15,yes
2020-10-03,05:08,11:50,13:30,yes
2020-10-03,06:30,13:00,12:25,yes
2020-10-03,07:00,14:25,12:15,yes
2020-10-03,07:13,11:45,NA,no
2020-10-03,07:17,14:00,12:30,yes
2020-10-03,07:30,10:40,NA,no
2020-10-03,08:15,12:45,NA,no
2020-10-03,10:35,12:00,NA,yes
2020-10-03,12:50,15:05,14:00,yes
2020-10-03,14:45,16:30,NA,yes
2020-10-03,14:30,02:00,NA,yes
2020-10-04,06:15,06:30,06:20,yes
2020-10-04,06:35,07:25,NA,yes
2020-10-04,07:00,08:15,07:30,yes
2020-10-04,08:15,10:10,NA,yes
2020-10-04,09:30,10:00,09:30,yes
2020-10-04,10:05,11:00,NA,yes
2020-10-04,15:30,16:45,NA,yes
2020-10-04,15:45,17:15,17:00,yes
2020-10-04,16:45,17:35,NA,yes
2020-10-05,06:45,08:30,NA,yes
2020-10-05,08:10,11:00,NA,yes
2020-10-05,09:30,11:30,10:30,yes
2020-10-05,09:50,10:20,NA,no
2020-10-05,10:30,11:30,NA,yes
2020-10-05,11:20,11:40,NA,yes
2020-10-05,15:25,17:45,15:30,yes
2020-10-06,06:10,07:00,06:30,yes
2020-10-06,06:15,06:45,NA,yes
2020-10-06,06:25,07:45,NA,yes
2020-10-06,14:40,15:55,14:50,yes
2020-10-06,14:55,15:25,NA,no
2020-10-07,06:10,08:30,06:15,yes
2020-10-07,06:20,08:20,NA,no
2020-10-07,08:45,11:00,10:00,yes
2020-10-07,10:30,13:30,NA,yes
2020-10-07,15:00,16:40,15:20,yes
2020-10-07,15:00,16:40,15:45,yes
2020-10-07,15:30,16:30,NA,yes
2020-10-07,16:00,17:30,NA,yes
2020-10-08,10:15,11:30,NA,no
2020-10-08,06:45,07:30,NA,no
2020-10-08,10:40,17:05,14:20,yes
2020-10-08,15:25,17:00,NA,yes
2020-10-09,05:45,10:15,08:45,yes
2020-10-09,05:50,09:05,08:20,yes
2020-10-09,08:20,09:05,NA,yes
