species,count,last_seen,location,date,seen
American Coot,35,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
American Goldfinch,2,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
American Kestrel,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
American Wigeon,4,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Black Phoebe,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Black-throated Sparrow,10,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Brewer’s Blackbird,6,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Brewer’s Sparrow,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Bufflehead,3,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Cactus Wren,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Canvasback,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Canyon Towhee,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Chihuahuan Raven,24,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Chipping Sparrow,1,2020-12-31,Canoa Ranch Conservation Park,2021-01-03,0
Common Raven,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Cooper’s Hawk,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Costa’s Hummingbird,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Curve-billed Thrasher,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Eurasian Collared-Dove,2,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
European Starling,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Gambel’s Quail,10,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Great Egret,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Great-tailed Grackle,2,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Greater Roadrunner,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Greater Yellowlegs,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Green-winged Teal,NA,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Killdeer,3,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Ladder-backed Woodpecker,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Lark Bunting,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Lark Sparrow,2,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,1
Least Sandpiper,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Lesser Scaup,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Lincoln’s Sparrow,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Loggerhead Shrike,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Mallard,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Neotropic Cormorant,2,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Northern Cardinal,3,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Northern Flicker,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Northern Pintail,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Phainopepla,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Pied-billed Grebe,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Pyrrhuloxia,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Red-tailed Hawk,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Red-winged Blackbird,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Redhead,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Ring-necked Duck,3,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Rock Wren,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Ruby-crowned Kinglet,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Ruddy Duck,20,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Rufous-winged Sparrow,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Sagebrush Sparrow,1,2021-01-01,Canoa Ranch Conservation Park,2021-01-03,0
Savannah Sparrow,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Say’s Phoebe,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Snow Goose,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Song Sparrow,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Spotted Sandpiper,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Turkey Vulture,1,2020-12-30,Canoa Ranch Conservation Park,2021-01-03,0
Vermilion Flycatcher,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Western Meadowlark,1,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,0
Yellow-rumped Warbler,2,2021-01-02,Canoa Ranch Conservation Park,2021-01-03,1
Rock Pigeon,3,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Red-tailed Hawk,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Savannah Sparrow,3,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Red-winged Blackbird,300,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Ruby-crowned Kinglet,2,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Curve-billed Thrasher,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Gambel’s Quail,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Northern Harrier,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Northern Shoveler,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Song Sparrow,3,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Eurasian Collared-Dove,2,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Peregrine Falcon,1,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Black-tailed Gnatcatcher,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
Marsh Wren,3,2021-02-12,Sweetwater Wetlands,2021-02-13,0
Sharp-shinned Hawk,1,2021-02-12,Sweetwater Wetlands,2021-02-13,1
